,title,pcom
1258,Saw: The Final Chapter,A Bigger Boat
1259,Tammy,RatPac-Dune Entertainment
1259,Tammy,Gary Sanchez Productions
1259,Tammy,New Line Cinema
1260,Planet 51,TriStar Pictures
1260,Planet 51,Ilion Animation Studios
1260,Planet 51,HandMade Films
1261,RoboCop 2,Orion Pictures
1261,RoboCop 2,Tobor Productions
1262,Harry Brown,Marv Films
1262,Harry Brown,UK Film Council
1262,Harry Brown,HanWay Films
1263,Movie 43,Relativity Media
1263,Movie 43,Virgin Produced
1263,Movie 43,GreeneStreet Films
1264,Down by Law,Island Pictures
1264,Down by Law,Black Snake
1264,Down by Law,Grokenberger Film Produktion
1265,Mr. Right,Amasia Entertainment
1265,Mr. Right,3311 Productions
1265,Mr. Right,Circle of Confusion
1266,Perfect Blue,Rex Entertainment
1266,Perfect Blue,Kotobuki Seihan Printing
1266,Perfect Blue,Asahi Broadcasting Corporation (ABC)
1267,Jaws 2,Universal Pictures
1267,Jaws 2,Zanuck/Brown Productions
1268,Clear and Present Danger,Mace Neufeld Productions
1268,Clear and Present Danger,Paramount Pictures
1269,Under Siege,Warner Bros.
1269,Under Siege,New Regency Productions
1269,Under Siege,Canal+
1270,Brother Bear,Walt Disney Animation Studios
1270,Brother Bear,Walt Disney Feature Animation Florida
1270,Brother Bear,Walt Disney Pictures
1271,Sex Tape,Columbia Pictures
1271,Sex Tape,Media Rights Capital (MRC)
1271,Sex Tape,LStar Capital
1272,Paul Blart: Mall Cop,Columbia Pictures
1272,Paul Blart: Mall Cop,Relativity Media
1272,Paul Blart: Mall Cop,Happy Madison Productions
1273,Spy Kids,Dimension Films
1273,Spy Kids,Troublemaker Studios
1274,The Ruins,Dreamworks Pictures
1274,The Ruins,Spyglass Entertainment
1274,The Ruins,Red Hour Films
1275,Hidalgo,Touchstone Pictures
1275,Hidalgo,Casey Silver Productions
1275,Hidalgo,Dune Films
1276,The Queen,Pathé Pictures International
1276,The Queen,Pathé
1276,The Queen,Granada Film Productions
1277,Valhalla Rising,BBC Films
1277,Valhalla Rising,Belle Allee Productions
1277,Valhalla Rising,La
1277,Valhalla Rising,La Belle Allee
1278,Runaway Jury,New Regency Productions
1278,Runaway Jury,New Regency Productions
1278,Runaway Jury,Epsilon Motion Pictures
1279,Tootsie,Columbia Pictures
1279,Tootsie,Mirage Enterprises
1279,Tootsie,Punch Productions
1280,Storks,RatPac-Dune Entertainment
1280,Storks,Warner Animation Group
1280,Storks,Warner Bros. Animation
1281,Stay,New Regency Productions
1281,Stay,New Regency Productions
1281,Stay,Epsilon Motion Pictures
1282,The DUFF,CBS Films
1282,The DUFF,Vast Entertainment
1282,The DUFF,Wonderland Sound and Vision
1283,Phenomenon,Touchstone Pictures
1284,Duplicity,Universal Pictures
1284,Duplicity,Relativity Media
1284,Duplicity,Laura Bickford Productions
1285,Take Me Home Tonight,Rogue Pictures
1285,Take Me Home Tonight,Imagine Entertainment
1285,Take Me Home Tonight,Relativity Media
1286,Hustlers,Annapurna Pictures
1286,Hustlers,Gloria Sanchez Productions
1286,Hustlers,Nuyorican Productions
1287,My Father and My Son,Avsar Film
1288,Exam,Hazeldine Films
1288,Exam,Bedlam Productions
1289,Scoop,BBC Films
1289,Scoop,Ingenious Film Partners
1289,Scoop,Phoenix Wiley
1290,Alice Through the Looking Glass,Walt Disney Pictures
1290,Alice Through the Looking Glass,Roth Films
1290,Alice Through the Looking Glass,Team Todd
1291,West Side Story.1,The Mirisch Corporation
1291,West Side Story.1,Seven Arts Productions
1292,Halloween II,Dimension Films
1292,Halloween II,Spectacle Entertainment Group
1292,Halloween II,Trancas International Films
1293,Booksmart,Annapurna Pictures
1293,Booksmart,Gloria Sanchez Productions
1294,Pride,Pathe UK
1294,Pride,Pathé
1294,Pride,CBS Films
1295,Blow-Up,Carlo Ponti Production
1296,Sinbad: Legend of the Seven Seas,Dreamworks Pictures
1296,Sinbad: Legend of the Seven Seas,DreamWorks Animation
1297,Cube²: Hypercube,Ghost Logic
1297,Cube²: Hypercube,Lions Gate Films
1298,"I, Daniel Blake",Sixteen Films
1298,"I, Daniel Blake",Why Not Productions
1298,"I, Daniel Blake",Wild Bunch
1299,Vampire Academy,Angry Films
1299,Vampire Academy,Kintop Pictures
1299,Vampire Academy,Preger Entertainment
1300,The Guardian,Touchstone Pictures
1300,The Guardian,Beacon Pictures
1300,The Guardian,Contrafilm
1301,Shershaah,Dharma Productions
1302,Entrapment,Twentieth Century Fox
1302,Entrapment,New Regency Productions
1302,Entrapment,Fountainbridge Films
1303,Funny People,Universal Pictures
1303,Funny People,Columbia Pictures
1303,Funny People,Relativity Media
1304,Arbitrage,Lionsgate
1304,Arbitrage,Green Room Films
1304,Arbitrage,Treehouse Pictures
1305,Witness,Paramount Pictures
1305,Witness,Edward S. Feldman Production
1306,The Pink Panther.1,Metro-Goldwyn-Mayer (MGM)
1306,The Pink Panther.1,Columbia Pictures
1306,The Pink Panther.1,Robert Simonds Productions
1307,Gremlins 2: The New Batch,Warner Bros.
1307,Gremlins 2: The New Batch,Amblin Entertainment
1308,Turbo,DreamWorks Animation
1309,Bill & Ted's Bogus Journey,Nelson Entertainment
1309,Bill & Ted's Bogus Journey,Interscope Communications
1309,Bill & Ted's Bogus Journey,Nelson Entertainment
1310,The Beguiled,American Zoetrope
1310,The Beguiled,FR Productions
1311,Son of the Mask,New Line Cinema
1311,Son of the Mask,Radar Pictures
1311,Son of the Mask,Dark Horse Entertainment
1312,City of Angels,Atlas Entertainment
1312,City of Angels,Monarchy Enterprises B.V.
1312,City of Angels,New Regency Productions
1313,2010: The Year We Make Contact,Metro-Goldwyn-Mayer (MGM)
1314,Calvary,Fox Searchlight Pictures
1314,Calvary,Screen Ireland
1314,Calvary,British Film Institute (BFI)
1315,Color It Yellow,ROMP
1315,Color It Yellow,UTV Motion Pictures
1316,Assault on Precinct 13,Rogue Pictures
1316,Assault on Precinct 13,Why Not Productions
1316,Assault on Precinct 13,Liaison Films
1317,Jacob's Ladder,Carolco Pictures
1318,Fright Night.1,Columbia Pictures
1318,Fright Night.1,Vistar Films
1318,Fright Night.1,Columbia Pictures Industries
1319,Pitch Perfect 3,Brownstone Entertainment (II)
1319,Pitch Perfect 3,Gold Circle Films
1319,Pitch Perfect 3,Perfect World Pictures
1320,Christopher Robin,2DUX²
1320,Christopher Robin,Walt Disney Pictures
1321,TMNT,Golden Harvest Company
1321,TMNT,4 Kids Entertainment
1321,TMNT,Image Comics
1322,The Other Boleyn Girl,Columbia Pictures
1322,The Other Boleyn Girl,Focus Features
1322,The Other Boleyn Girl,BBC Films
1323,White Men Can't Jump,Twentieth Century Fox
1324,Jack and Jill,Columbia Pictures
1324,Jack and Jill,Happy Madison Productions
1324,Jack and Jill,Broken Road Productions
1325,The Smurfs,Columbia Pictures
1325,The Smurfs,Sony Pictures Animation
1325,The Smurfs,Kerner Entertainment Company
1326,The Mitchells vs the Machines,Sony Pictures Animation
1326,The Mitchells vs the Machines,Lord Miller
1326,The Mitchells vs the Machines,Columbia Pictures
1327,Kahaani,Boundscript
1327,Kahaani,Pen Movies
1327,Kahaani,Viacom18 Motion Pictures
1328,Victor Frankenstein,Davis Entertainment
1328,Victor Frankenstein,TSG Entertainment
1328,Victor Frankenstein,Moving Picture Company (MPC)
1329,Sleeping with the Enemy,Twentieth Century Fox
1330,Resident Evil: The Final Chapter,Constantin Film
1330,Resident Evil: The Final Chapter,Davis Films
1330,Resident Evil: The Final Chapter,Impact Pictures
1331,Rebel Without a Cause,Warner Bros.
1332,This Is Where I Leave You,21 Laps Entertainment
1332,This Is Where I Leave You,Spring Creek Productions
1332,This Is Where I Leave You,Warner Bros.
1333,Tusk,SModcast Pictures
1334,Battle of the Sexes,Cloud Eight Films
1334,Battle of the Sexes,Decibel Films
1334,Battle of the Sexes,Fox Searchlight Pictures
1335,Step Up,Summit Entertainment
1335,Step Up,Touchstone Pictures
1335,Step Up,Offspring Entertainment
1336,The Counselor,Fox 2000 Pictures
1336,The Counselor,Scott Free Productions
1336,The Counselor,Nick Wechsler Productions
1337,Doomsday,Rogue Pictures
1337,Doomsday,Intrepid Pictures
1337,Doomsday,Crystal Sky Pictures
1338,Just Mercy,Warner Bros. Pictures
1338,Just Mercy,Endeavor Content
1338,Just Mercy,One Community
1339,Fanboys,The Weinstein Company
1339,Fanboys,Trigger Street Productions
1339,Fanboys,Picture Machine
1340,Hesher,The Last Picture Company
1340,Hesher,American Work
1340,Hesher,CatchPlay
1341,From Paris with Love,EuropaCorp
1341,From Paris with Love,M6 Films
1341,From Paris with Love,Grive Productions
1342,Blitz,Lionsgate UK
1342,Blitz,Davis-Films
1342,Blitz,Current Entertainment
1343,Beverly Hills Cop II,Paramount Pictures
1343,Beverly Hills Cop II,Don Simpson/Jerry Bruckheimer Films
1343,Beverly Hills Cop II,Eddie Murphy Productions
1344,Zathura: A Space Adventure,Columbia Pictures
1344,Zathura: A Space Adventure,Radar Pictures
1344,Zathura: A Space Adventure,Teitler Film
1345,The Raven,Intrepid Pictures
1345,The Raven,FilmNation Entertainment
1345,The Raven,Galavis Film
1346,Trance,Pathé
1346,Trance,Cloud Eight Films
1346,Trance,Decibel Films
1347,Broken City,Emmett/Furla/Oasis Films (EFO Films)
1347,Broken City,Inferno International
1347,Broken City,New Regency Productions
1348,Elite Squad,Zazen Produções
1348,Elite Squad,Posto 9
1348,Elite Squad,Feijão Filmes
1349,Shoplifters,AOI Promotion
1349,Shoplifters,Fuji Television Network
1349,Shoplifters,GAGA.
1350,Unleashed,Rogue Pictures
1350,Unleashed,EuropaCorp
1350,Unleashed,Danny the Dog Prods Ltd.
1351,Caddyshack,Orion Pictures
1352,August: Osage County,The Weinstein Company
1352,August: Osage County,Jean Doumanian Productions
1352,August: Osage County,Smokehouse Pictures
1353,A Silent Voice: The Movie,ABC Animation
1353,A Silent Voice: The Movie,Kodansha
1353,A Silent Voice: The Movie,Kyoto Animation
1354,Trouble with the Curve,Warner Bros.
1354,Trouble with the Curve,Malpaso Productions
1355,My Girl,Columbia Pictures
1355,My Girl,Imagine Entertainment
1356,Kickboxer,Kings Road Entertainment
1357,Let's Go! India,Yash Raj Films International Ltd.
1357,Let's Go! India,Yash Raj Films
1358,Coming 2 America,Paramount Pictures
1358,Coming 2 America,Eddie Murphy Productions
1358,Coming 2 America,Misher Films
1359,Mary Poppins Returns,Lucamar Productions
1359,Mary Poppins Returns,Marc Platt Productions
1359,Mary Poppins Returns,Walt Disney Pictures
1360,Ghosts of Mars,Screen Gems
1360,Ghosts of Mars,Storm King Productions
1360,Ghosts of Mars,Animationwerks
1361,The Lego Movie 2: The Second Part,Warner Bros.
1361,The Lego Movie 2: The Second Part,Warner Animation Group
1361,The Lego Movie 2: The Second Part,LEGO System A/S
1362,Fighting with My Family,Metro-Goldwyn-Mayer (MGM)
1362,Fighting with My Family,Channel 4 Television Corporation
1362,Fighting with My Family,Film4
1363,The Upside,Escape Artists
1363,The Upside,Lantern Entertainment
1363,The Upside,The Weinstein Company
1364,Faster,CBS Films
1364,Faster,TriStar Pictures
1364,Faster,Castle Rock Entertainment
1365,Doom,John Wells Productions
1365,Doom,Di Bonaventura Pictures
1365,Doom,Doom Productions
1366,The Young Victoria,GK Films
1367,The Commuter,StudioCanal
1367,The Commuter,TF1 Films Production
1367,The Commuter,The Picture Company
1368,Dead Man Down,FilmDistrict
1368,Dead Man Down,IM Global
1368,Dead Man Down,WWE Studios
1369,Greenland,STX Films
1369,Greenland,Anton
1369,Greenland,Thunder Road Pictures
1370,88 Minutes,Millennium Films
1370,88 Minutes,Equity Pictures Medienfonds GmbH & Co. KG III
1370,88 Minutes,Brightlight Pictures
1371,The Five-Year Engagement,Universal Pictures
1371,The Five-Year Engagement,Relativity Media
1371,The Five-Year Engagement,Apatow Productions
1372,Beethoven,Universal Pictures
1372,Beethoven,Northern Lights Entertainment
1373,Candyman.1,Universal Pictures
1373,Candyman.1,Metro-Goldwyn-Mayer (MGM)
1373,Candyman.1,BRON Studios
1374,Mirror Mirror,Relativity Media
1374,Mirror Mirror,Yucaipa Films
1374,Mirror Mirror,Goldmann Pictures
1375,I Love You Phillip Morris,EuropaCorp
1375,I Love You Phillip Morris,Mad Chance
1375,I Love You Phillip Morris,Consolidated Pictures Group
1376,John Tucker Must Die,Twentieth Century Fox
1376,John Tucker Must Die,Landscape Entertainment
1376,John Tucker Must Die,Dune Entertainment
1377,21 & Over,Relativity Media
1377,21 & Over,SkyLand Entertainment
1377,21 & Over,Virgin Produced
1378,2046,Jet Tone Production
1378,2046,Shanghai Film Group
1378,2046,Orly Films
1379,Say Anything,Gracie Films
1379,Say Anything,Twentieth Century Fox
1380,Field of Dreams,Gordon Company
1381,Superhero Movie,Dimension Films
1382,Dirty Rotten Scoundrels,Orion Pictures
1383,My Blueberry Nights,Block 2 Pictures
1383,My Blueberry Nights,Jet Tone Production
1383,My Blueberry Nights,Lou Yi Ltd.
1384,The Grinch,Universal Pictures
1384,The Grinch,Universal Animation Studios
1384,The Grinch,Illumination Entertainment
1385,Rat Race,Paramount Pictures
1385,Rat Race,Alphaville Films
1385,Rat Race,Fireworks Pictures
1386,Gosford Park,USA Films
1386,Gosford Park,Capitol Films
1386,Gosford Park,Film Council
1387,The Skeleton Key,Universal Pictures
1387,The Skeleton Key,ShadowCatcher Entertainment
1387,The Skeleton Key,Double Feature Films
1388,Your Highness,Universal Pictures
1388,Your Highness,Bluegrass Films
1389,Three Colors: Red,MK2 Productions
1389,Three Colors: Red,France 3 Cinéma
1389,Three Colors: Red,CAB Productions
1390,Last Christmas,Calamity Films
1390,Last Christmas,Feigco Entertainment
1390,Last Christmas,Perfect World Pictures
1391,Beasts of the Southern Wild,Cinereach
1391,Beasts of the Southern Wild,Department of Motion Pictures
1391,Beasts of the Southern Wild,Court 13 Pictures
1392,The Money Pit,Amblin Entertainment
1392,The Money Pit,U-Drive Productions
1392,The Money Pit,Universal Pictures
1393,The Snowman,Universal Pictures
1393,The Snowman,Another Park Film
1393,The Snowman,Perfect World Pictures
1394,Benny & Joon,Metro-Goldwyn-Mayer (MGM)
1394,Benny & Joon,Roth-Arnold Productions
1395,God Bless America,Darko Entertainment
1395,God Bless America,Jerkschool Productions
1396,Allegiant,Mandeville Films
1396,Allegiant,Red Wagon Entertainment
1396,Allegiant,Summit Entertainment
1397,The New Mutants,20th Century Studios
1397,The New Mutants,Marvel Entertainment
1397,The New Mutants,Kinberg Genre
1398,Brightburn,Screen Gems
1398,Brightburn,Stage 6 Films
1398,Brightburn,The H Collective
1399,Charlie Wilson's War,Universal Pictures
1399,Charlie Wilson's War,Relativity Media
1399,Charlie Wilson's War,Participant
1400,Broken Flowers,Focus Features
1400,Broken Flowers,Five Roses
1400,Broken Flowers,Bac Films
1401,The Aristocats,Walt Disney Productions
1402,Mr. Peabody & Sherman,Bullwinkle Studios
1402,Mr. Peabody & Sherman,Classic Media Productions
1402,Mr. Peabody & Sherman,DreamWorks Animation
1403,Friday the 13th: The Final Chapter,Paramount Pictures
1403,Friday the 13th: The Final Chapter,Georgetown Productions Inc.
1403,Friday the 13th: The Final Chapter,Sean S. Cunningham Films
1404,St. Vincent,Chernin Entertainment
1404,St. Vincent,Crescendo Productions
1404,St. Vincent,Goldenlight Films
1405,Black Book,Fu Works
1405,Black Book,Egoli Tossell Pictures
1405,Black Book,Clockwork Pictures
1406,Disaster Movie,Lionsgate
1406,Disaster Movie,Grosvenor Park Media
1406,Disaster Movie,3 in the Box
1407,Hardcore Henry,Bazelevs Production
1407,Hardcore Henry,Versus Pictures
1407,Hardcore Henry,Huayi Brothers Media
1408,Children of the Corn,Hal Roach Studios
1408,Children of the Corn,New World Pictures
1408,Children of the Corn,Angeles Entertainment Group
1409,A Simple Plan,British Broadcasting Corporation (BBC)
1409,A Simple Plan,H2L Media Group
1409,A Simple Plan,Mutual Film Company
1410,The Finest Hours,Walt Disney Pictures
1410,The Finest Hours,Whitaker Entertainment I
1410,The Finest Hours,Whitaker Entertainment
1411,Mortdecai,MWM Studios
1411,Mortdecai,Infinitum Nihil
1411,Mortdecai,Mad Chance
1412,Escape from L.A.,Paramount Pictures
1412,Escape from L.A.,Rysher Entertainment
1413,The Heartbreak Kid,Dreamworks Pictures
1413,The Heartbreak Kid,Radar Pictures
1413,The Heartbreak Kid,Davis Entertainment
1414,The Devil's Double,Corsan
1414,The Devil's Double,Staccato Films
1415,Triple 9,Worldview Entertainment
1415,Triple 9,Anonymous Content
1415,Triple 9,MadRiver Pictures
1416,Teen Wolf,Atlantic Entertainment Group
1416,Teen Wolf,Wolfkill Productions
1417,The Age of Innocence,Columbia Pictures
1417,The Age of Innocence,Cappa Production
1418,Made of Honor,Columbia Pictures
1418,Made of Honor,Relativity Media
1418,Made of Honor,Original Film
1419,Machine Gun Preacher,Relativity Media
1419,Machine Gun Preacher,Virgin Produced
1419,Machine Gun Preacher,Apparatus Productions
1420,Double Jeopardy,Paramount Pictures
1420,Double Jeopardy,MFP Munich Film Partners GmbH & Company I. Produktions KG
1420,Double Jeopardy,Province of British Columbia Production Services Tax Credit
1421,Not Another Teen Movie,Columbia Pictures
1421,Not Another Teen Movie,Original Film
1421,Not Another Teen Movie,Neal H. Moritz Productions
1422,The Eagle,Focus Features
1422,The Eagle,Film4
1422,The Eagle,Toledo Productions
1423,The Girl Who Played with Fire,Yellow Bird
1423,The Girl Who Played with Fire,ZDF Enterprises
1423,The Girl Who Played with Fire,Sveriges Television (SVT)
